filename,train error,top-1 error,top-5 error,mutual information,sample entropy,experts usage
cifar100_single_model_0,0.4047592282295227,0.47119140625,0.18466796875000002,
cifar100_single_model_1,0.4057278633117676,0.47578126192092896,0.18496093749999998,
cifar100_single_model_2,0.3977918028831482,0.466796875,0.17646484375000004,
cifar100_single_model_3,0.4003866910934448,0.4703124761581421,0.17431640625,
cifar100_single_model_4,0.402917742729187,0.4561523199081421,0.17412109374999996,
cifar100_without_reg_100_20_models.pt,0.4004583954811096,0.45976561307907104,0.17324218749999998,0.9405102729797363,0.2899141788482666,0.9981498122215271
cifar100_without_reg_100_20_models.pt,0.4259645938873291,0.48134762048721313,0.18730468749999996,1.5103759765625,0.6277996063232422,1.7689845561981201
cifar100_without_reg_100_20_models.pt,0.42431843280792236,0.48388671875,0.18730468749999996,0.7164649963378906,0.39123265743255614,1.1748453378677368
cifar100_without_reg_100_20_models.pt,0.39760440587997437,0.46025389432907104,0.17265624999999996,0.9606838226318359,0.30630490779876707,1.1028811931610107
cifar100_without_reg_100_20_models.pt,0.41294246912002563,0.46660155057907104,0.17958984374999998,0.823448657989502,0.43091373443603515,0.9739508628845215
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4107063412666321,0.48066407442092896,0.19208984375000004,4.188347816467285,1.3632126808166505,3.8370180130004883
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4082828760147095,0.48330074548721313,0.18769531250000004,4.172468185424805,1.3083797454833985,4.037834644317627
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4116191267967224,0.48476558923721313,0.18203124999999998,4.145962715148926,1.313673210144043,3.887887477874756
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4204599857330322,0.48193359375,0.19072265624999996,4.145415782928467,1.3902952194213867,4.022093296051025
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4110570549964905,0.4833984375,0.18173828125000002,4.206386089324951,1.3960522651672362,3.769244432449341
cifar100_with_reg_importance_0.4_100_20_models.pt,0.422086238861084,0.49365234375,0.19765624999999998,4.198564052581787,1.5290143966674805,3.9736528396606445
cifar100_with_reg_importance_0.4_100_20_models.pt,0.43704962730407715,0.506152331829071,0.20322265625000002,4.168266773223877,1.5422602653503419,3.7202672958374023
cifar100_with_reg_importance_0.4_100_20_models.pt,0.4102439880371094,0.48525387048721313,0.19355468750000004,4.223721504211426,1.3818929672241211,4.057452201843262
cifar100_with_reg_importance_0.4_100_20_models.pt,0.42295122146606445,0.5044921636581421,0.20576171875000004,4.185324668884277,1.346969985961914,3.8549885749816895
cifar100_with_reg_importance_0.4_100_20_models.pt,0.41847896575927734,0.48378902673721313,0.19169921874999996,4.189847946166992,1.4961519241333008,3.83774995803833
cifar100_with_reg_importance_0.6_100_20_models.pt,0.4233059883117676,0.48955076932907104,0.19921875,4.227491855621338,1.5191872596740723,4.051352024078369
cifar100_with_reg_importance_0.6_100_20_models.pt,0.43413984775543213,0.5030273199081421,0.19912109374999998,4.202334880828857,1.556699848175049,4.092713832855225
cifar100_with_reg_importance_0.6_100_20_models.pt,0.43193960189819336,0.4912109375,0.19941406250000004,4.2329792976379395,1.5386668205261231,3.970541477203369
cifar100_with_reg_importance_0.6_100_20_models.pt,0.43410396575927734,0.49589842557907104,0.19277343749999998,4.193958759307861,1.4950404167175293,4.082947254180908
cifar100_with_reg_importance_0.6_100_20_models.pt,0.413659930229187,0.4844726324081421,0.19296875000000002,4.2370100021362305,1.461534595489502,3.961688995361328
cifar100_with_reg_importance_0.8_100_20_models.pt,0.42141664028167725,0.4976562261581421,0.20449218749999998,4.231296539306641,1.5982558250427246,4.113652229309082
cifar100_with_reg_importance_0.8_100_20_models.pt,0.43708544969558716,0.4927734136581421,0.20126953125000002,4.18993616104126,1.6638397216796874,3.910358428955078
cifar100_with_reg_importance_0.8_100_20_models.pt,0.41844308376312256,0.4874023199081421,0.19648437500000004,4.245959758758545,1.5767269134521484,3.9432902336120605
cifar100_with_reg_importance_0.8_100_20_models.pt,0.41125237941741943,0.4917968511581421,0.19316406249999996,4.2143378257751465,1.4332115173339843,3.950191020965576
cifar100_with_reg_importance_0.8_100_20_models.pt,0.4323262572288513,0.49873048067092896,0.20761718750000002,4.199647903442383,1.4807558059692383,3.9401676654815674
cifar100_with_reg_importance_1.0_100_20_models.pt,0.42632734775543213,0.48857420682907104,0.20175781250000002,4.224124431610107,1.6298519134521485,4.091170310974121
cifar100_with_reg_importance_1.0_100_20_models.pt,0.4213448762893677,0.4908202886581421,0.19873046875,4.244826316833496,1.5830591201782227,4.021322250366211
cifar100_with_reg_importance_1.0_100_20_models.pt,0.4274035692214966,0.49931639432907104,0.19716796874999998,4.166068077087402,1.5446134567260743,4.151200294494629
cifar100_with_reg_importance_1.0_100_20_models.pt,0.42504388093948364,0.49160152673721313,0.20185546875000004,4.241461753845215,1.5598212242126466,4.012284278869629
cifar100_with_reg_importance_1.0_100_20_models.pt,0.441788911819458,0.5035156011581421,0.20244140624999996,4.167369842529297,1.7252281188964844,3.9592947959899902
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.41072624921798706,0.47939449548721313,0.18720703125000004,2.0172200202941895,0.6403536796569824,2.0881381034851074
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.4344467520713806,0.4957031011581421,0.205078125,1.7777175903320312,0.7288382053375244,1.9697781801223755
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.42298710346221924,0.47939449548721313,0.18574218750000004,0.6616802215576172,0.41997365951538085,0.981773853302002
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.4221978783607483,0.47685545682907104,0.19599609375000004,1.817840576171875,0.6485367298126221,2.094235420227051
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.40206873416900635,0.45791012048721313,0.17265624999999996,0.6094369888305664,0.14619990587234497,0.41133370995521545
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.43129783868789673,0.49052733182907104,0.19853515624999996,1.7121977806091309,0.6444991588592529,1.6886556148529053
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.39272958040237427,0.45693355798721313,0.17373046874999998,1.4190115928649902,0.38310606479644777,1.3774752616882324
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.411344051361084,0.4786132574081421,0.17919921875,0.979069709777832,0.44921445846557617,1.3516937494277954
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.4029097557067871,0.47626954317092896,0.17958984374999998,1.3703932762145996,0.49211955070495605,1.5813003778457642
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.4252551198005676,0.4833984375,0.18417968750000002,0.6708450317382812,0.4134758472442627,0.9747726321220398
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-05_100_20_models.pt,0.411324143409729,0.46328121423721313,0.1806640625,0.6792097091674805,0.33393054008483886,0.6929975152015686
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-05_100_20_models.pt,0.41723138093948364,0.4859374761581421,0.19306640625000004,1.6666254997253418,0.6414828300476074,1.8179823160171509
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-05_100_20_models.pt,0.3974171280860901,0.46748048067092896,0.17666015624999998,0.7382535934448242,0.22775585651397706,0.6832491159439087
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-05_100_20_models.pt,0.4045719504356384,0.46533203125,0.1767578125,1.0373239517211914,0.3036249399185181,0.9371894598007202
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-05_100_20_models.pt,0.41354435682296753,0.48603516817092896,0.18779296874999996,2.036619186401367,0.624684190750122,2.1583292484283447
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.0001_100_20_models.pt,0.40764111280441284,0.46621090173721313,0.17998046874999996,0.6089129447937012,0.2250145196914673,0.6181694269180298
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.0001_100_20_models.pt,0.40621012449264526,0.47578126192092896,0.17656249999999996,1.3252668380737305,0.3727099418640137,1.3721857070922852
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.0001_100_20_models.pt,0.4190050959587097,0.47890621423721313,0.18212890625,0.7466521263122559,0.3899005651473999,0.9797958731651306
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.0001_100_20_models.pt,0.3974529504776001,0.45849609375,0.17314453124999996,0.8706784248352051,0.3292609691619873,1.0688846111297607
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.0001_100_20_models.pt,0.39536434412002563,0.45585936307907104,0.17431640625,0.42415666580200195,0.22839686870574952,0.6095678806304932
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.001_100_20_models.pt,0.40409761667251587,0.4659179449081421,0.18886718749999998,1.4284324645996094,0.47451467514038087,1.7338504791259766
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.001_100_20_models.pt,0.41737884283065796,0.4668945074081421,0.17861328124999998,1.0162405967712402,0.36984872817993164,1.1163288354873657
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.001_100_20_models.pt,0.4314572811126709,0.48964840173721313,0.19541015625000002,1.3763298988342285,0.5219869136810302,1.441475749015808
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.001_100_20_models.pt,0.4134845733642578,0.46210938692092896,0.17695312500000004,0.642094612121582,0.25977320671081544,0.8117066025733948
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.001_100_20_models.pt,0.41151946783065796,0.4795898199081421,0.19384765625,2.503114700317383,0.9414715766906738,2.7078919410705566
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.01_100_20_models.pt,0.40015947818756104,0.45683592557907104,0.17451171875000004,0.5892157554626465,0.1707748532295227,0.7722523808479309
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_0.01_100_20_models.pt,0.4148118495941162,0.47431641817092896,0.18632812499999996,1.3698525428771973,0.48645787239074706,1.7821214199066162
