filename,train error,test error,mutual information,sample entropy,experts usage
cifar100_without_reg_100_20_models.pt,0.4004583954811096,0.46074217557907104,0.9420862197875977,0.290310263633728,1.2846342325210571
cifar100_without_reg_100_20_models.pt,0.4259645938873291,0.4800781011581421,1.513650894165039,0.6246554374694824,1.7422690391540527
cifar100_without_reg_100_20_models.pt,0.42431843280792236,0.47968751192092896,0.7173061370849609,0.3948707103729248,0.9094072580337524
cifar100_without_reg_100_20_models.pt,0.39760440587997437,0.46035152673721313,0.9674763679504395,0.30593440532684324,1.02313232421875
cifar100_without_reg_100_20_models.pt,0.41294246912002563,0.4659179449081421,0.8309464454650879,0.4315324783325195,1.1643261909484863
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4107063412666321,0.48417967557907104,4.189644813537598,1.3594772338867187,3.8744163513183594
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4082828760147095,0.4830077886581421,4.1768903732299805,1.3153775215148926,3.9812448024749756
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4116191267967224,0.48710936307907104,4.1436591148376465,1.3210094451904297,3.9199981689453125
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4204599857330322,0.48134762048721313,4.141518592834473,1.3837279319763183,3.9781508445739746
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4110570549964905,0.49238282442092896,4.212033271789551,1.396917724609375,3.8661184310913086
cifar100_with_reg_importance_0.4_100_20_models.pt,0.422086238861084,0.49101561307907104,4.197530269622803,1.5188766479492188,4.050766944885254
cifar100_with_reg_importance_0.4_100_20_models.pt,0.43704962730407715,0.5033203363418579,4.163714408874512,1.5524968147277831,4.139407157897949
cifar100_with_reg_importance_0.4_100_20_models.pt,0.4102439880371094,0.48808592557907104,4.221109390258789,1.3892929077148437,3.9129762649536133
cifar100_with_reg_importance_0.4_100_20_models.pt,0.42295122146606445,0.49951171875,4.186134338378906,1.34936466217041,3.9159703254699707
cifar100_with_reg_importance_0.4_100_20_models.pt,0.41847896575927734,0.49208980798721313,4.187093734741211,1.5006332397460938,3.962937355041504
cifar100_with_reg_importance_0.6_100_20_models.pt,0.4233059883117676,0.48408204317092896,4.227337837219238,1.5263273239135742,4.115234851837158
cifar100_with_reg_importance_0.6_100_20_models.pt,0.43413984775543213,0.49970704317092896,4.202611446380615,1.556528091430664,3.9735238552093506
cifar100_with_reg_importance_0.6_100_20_models.pt,0.43193960189819336,0.4922851324081421,4.238469123840332,1.5401363372802734,4.112625598907471
cifar100_with_reg_importance_0.6_100_20_models.pt,0.43410396575927734,0.49589842557907104,4.192785263061523,1.495106315612793,3.8251941204071045
cifar100_with_reg_importance_0.6_100_20_models.pt,0.413659930229187,0.4913085699081421,4.237746238708496,1.460183811187744,4.0678205490112305
cifar100_with_reg_importance_0.8_100_20_models.pt,0.42141664028167725,0.49658203125,4.2290496826171875,1.5876444816589355,3.861703395843506
cifar100_with_reg_importance_0.8_100_20_models.pt,0.43708544969558716,0.5008789300918579,4.178755283355713,1.672377586364746,4.131872177124023
cifar100_with_reg_importance_0.8_100_20_models.pt,0.41844308376312256,0.4814453125,4.245666027069092,1.5758635520935058,3.92506742477417
cifar100_with_reg_importance_0.8_100_20_models.pt,0.41125237941741943,0.49091798067092896,4.212893962860107,1.4293522834777832,4.038936614990234
cifar100_with_reg_importance_0.8_100_20_models.pt,0.4323262572288513,0.49931639432907104,4.204559326171875,1.4709985733032227,3.916065216064453
cifar100_with_reg_importance_1.0_100_20_models.pt,0.42632734775543213,0.48769527673721313,4.2257232666015625,1.6340398788452148,3.9845163822174072
cifar100_with_reg_importance_1.0_100_20_models.pt,0.4213448762893677,0.48955076932907104,4.240579128265381,1.587716293334961,4.0575666427612305
cifar100_with_reg_importance_1.0_100_20_models.pt,0.4274035692214966,0.4932616949081421,4.165740013122559,1.535937786102295,4.078132629394531
cifar100_with_reg_importance_1.0_100_20_models.pt,0.42504388093948364,0.4893554449081421,4.2428388595581055,1.5583415031433105,4.044493198394775
cifar100_with_reg_importance_1.0_100_20_models.pt,0.441788911819458,0.5031249523162842,4.165892124176025,1.7174041748046875,4.138572692871094
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.41072624921798706,0.47333985567092896,2.0181984901428223,0.633576488494873,2.149998426437378
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.4344467520713806,0.4971679449081421,1.7862744331359863,0.7344289779663086,1.912139654159546
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.42298710346221924,0.47968751192092896,0.6581563949584961,0.41356582641601564,0.9991716742515564
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.4221978783607483,0.48623043298721313,1.8169174194335938,0.6499308586120606,1.9855784177780151
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.40206873416900635,0.45576173067092896,0.6125144958496094,0.1468876361846924,0.39118507504463196
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.43129783868789673,0.48408204317092896,1.7145609855651855,0.6463847160339355,2.0633437633514404
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.39272958040237427,0.45693355798721313,1.4241485595703125,0.38138303756713865,1.2792848348617554
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.411344051361084,0.474609375,0.9805083274841309,0.4478870391845703,1.422940731048584
