filename,train error,test error,mutual information,sample entropy,experts usage
cifar100_single_model_0,0.5707190930843353,0.57861328125,,
cifar100_single_model_1,0.5702327787876129,0.5743163824081421,,
cifar100_single_model_2,0.5739357769489288,0.5860351324081421,,
cifar100_single_model_3,0.5787667334079742,0.5751953125,,
cifar100_single_model_4,0.5652662813663483,0.5721679925918579,,
cifar100_without_reg_100_20_models.pt,0.4652702808380127,0.5088866949081421,2.905179023742676,0.7798995971679688,2.8090124130249023
cifar100_without_reg_100_20_models.pt,0.48087531328201294,0.53515625,2.650254726409912,0.6987703323364258,2.582993268966675
cifar100_without_reg_100_20_models.pt,0.4691685438156128,0.521289050579071,2.8306455612182617,0.7391836166381835,2.685635566711426
cifar100_without_reg_100_20_models.pt,0.47853952646255493,0.5255858898162842,2.5883193016052246,0.8215039253234864,2.5466208457946777
cifar100_without_reg_100_20_models.pt,0.47377628087997437,0.5234375,2.54335880279541,0.7312248706817627,2.659898519515991
cifar100_with_reg_importance_0.2_100_20_models.pt,0.47489237785339355,0.5291992425918579,4.140862464904785,1.6040189743041993,3.91593337059021
cifar100_with_reg_importance_0.2_100_20_models.pt,0.45097655057907104,0.5191406011581421,4.215170383453369,1.442449951171875,4.009072303771973
cifar100_with_reg_importance_0.2_100_20_models.pt,0.48740434646606445,0.5407226085662842,4.100742340087891,1.582528305053711,3.637510061264038
cifar100_with_reg_importance_0.2_100_20_models.pt,0.4584183692932129,0.514941394329071,4.182897090911865,1.4263863563537598,3.9214930534362793
cifar100_with_reg_importance_0.2_100_20_models.pt,0.46442127227783203,0.5186523199081421,4.186128616333008,1.4225643157958985,4.031132221221924
cifar100_with_reg_importance_0.4_100_20_models.pt,0.45911991596221924,0.5094726085662842,4.202155590057373,1.4854597091674804,3.9782605171203613
cifar100_with_reg_importance_0.4_100_20_models.pt,0.4622090458869934,0.5252929925918579,4.184701442718506,1.4481057167053222,4.091969966888428
cifar100_with_reg_importance_0.4_100_20_models.pt,0.4799984097480774,0.5291992425918579,4.15364933013916,1.5937301635742187,3.924705982208252
cifar100_with_reg_importance_0.4_100_20_models.pt,0.5206313729286194,0.5609375238418579,4.063229560852051,1.9083995819091797,4.112260818481445
cifar100_with_reg_importance_0.4_100_20_models.pt,0.45637357234954834,0.5146484375,4.17491340637207,1.469625759124756,4.083826065063477
cifar100_with_reg_importance_0.6_100_20_models.pt,0.5178411900997162,0.5614258050918579,4.069762706756592,1.881973648071289,4.1662492752075195
cifar100_with_reg_importance_0.6_100_20_models.pt,0.4899274706840515,0.534472644329071,4.134782314300537,1.7659143447875976,4.141440391540527
cifar100_with_reg_importance_0.6_100_20_models.pt,0.4516581892967224,0.5133788585662842,4.224555492401123,1.510653305053711,4.012581825256348
cifar100_with_reg_importance_0.6_100_20_models.pt,0.4635722041130066,0.517871081829071,4.180425643920898,1.5661651611328125,4.064070701599121
cifar100_with_reg_importance_0.6_100_20_models.pt,0.4582231044769287,0.5196288824081421,4.209930419921875,1.5366201400756836,4.105473041534424
cifar100_with_reg_importance_0.8_100_20_models.pt,0.449621319770813,0.5030273199081421,4.199458122253418,1.4833205223083497,4.027010917663574
cifar100_with_reg_importance_0.8_100_20_models.pt,0.48237407207489014,0.5379883050918579,4.18526554107666,1.6366878509521485,4.152193546295166
cifar100_with_reg_importance_0.8_100_20_models.pt,0.45354753732681274,0.505175769329071,4.2104926109313965,1.512181282043457,4.003832817077637
cifar100_with_reg_importance_0.8_100_20_models.pt,0.4858298897743225,0.5302734375,4.179003715515137,1.7155105590820312,4.03948974609375
cifar100_with_reg_importance_0.8_100_20_models.pt,0.48362964391708374,0.531542956829071,4.2132463455200195,1.734268569946289,3.9769186973571777
cifar100_with_reg_importance_1.0_100_20_models.pt,0.4697105884552002,0.5269531011581421,4.139345169067383,1.6172924041748047,4.133655548095703
cifar100_with_reg_importance_1.0_100_20_models.pt,0.4858497977256775,0.530078113079071,4.168447971343994,1.6922935485839843,4.005316257476807
cifar100_with_reg_importance_1.0_100_20_models.pt,0.46213728189468384,0.518847644329071,4.250650405883789,1.653666877746582,3.9814910888671875
cifar100_with_reg_importance_1.0_100_20_models.pt,0.48398834466934204,0.5328124761581421,4.0808491706848145,1.7476701736450195,4.0949625968933105
cifar100_with_reg_importance_1.0_100_20_models.pt,0.48289620876312256,0.5285155773162842,4.228244304656982,1.6730058670043946,4.008544921875
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.4944276213645935,0.53515625,2.286555767059326,0.7410624980926513,2.2953076362609863
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.4985610842704773,0.5396484136581421,1.9236111640930176,0.6503620624542237,2.05983829498291
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.48254942893981934,0.5323241949081421,2.412109375,0.775435209274292,2.74977445602417
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.49960142374038696,0.5386718511581421,1.9391679763793945,0.6571396827697754,1.9414244890213013
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-07_100_20_models.pt,0.4967036247253418,0.52978515625,2.0858302116394043,0.6773739337921143,2.323200225830078
cifar100_with_reg_sample_sim_same_1e-05_sample_sim_diff_1e-06_100_20_models.pt,0.4903300404548645,0.5361328125,2.2186779975891113,0.7109837532043457,2.34973406791687
