filename,train error,test error,mutual information,sample entropy,expert usage
mnist_single_model_hidden_32_0,0.12862485647201538,0.12860000133514404,,
mnist_single_model_hidden_32_1,0.10395145416259766,0.10290002822875977,,
mnist_single_model_hidden_32_2,0.1071736216545105,0.10500001907348633,,
mnist_single_model_hidden_32_3,0.10726183652877808,0.10580003261566162,,
mnist_single_model_hidden_32_4,0.1965593695640564,0.1957000494003296,,
mnist_single_model_hidden_32_5,0.09654176235198975,0.09580004215240479,,
mnist_single_model_hidden_32_6,0.3219566345214844,0.3160000443458557,,
mnist_single_model_hidden_32_7,0.10493361949920654,0.10010004043579102,,
mnist_single_model_hidden_32_8,0.09691691398620605,0.09140002727508545,,
mnist_single_model_hidden_32_9,0.0973859429359436,0.09870004653930664,,
mnist_without_reg_hidden_32_10_5_models.pt,0.049611568450927734,0.05540001392364502,1.1141736507415771,0.2773973345756531,1.5777275562286377
mnist_without_reg_hidden_32_10_5_models.pt,0.02267611026763916,0.03850001096725464,1.5620532035827637,0.07959963381290436,1.7157671451568604
mnist_without_reg_hidden_32_10_5_models.pt,0.02697962522506714,0.03690004348754883,2.1037893295288086,0.06255895644426346,2.181427001953125
mnist_without_reg_hidden_32_10_5_models.pt,0.028292715549468994,0.037300050258636475,1.8926050662994385,0.09331979602575302,2.000575304031372
mnist_without_reg_hidden_32_10_5_models.pt,0.02204716205596924,0.03700000047683716,1.866248607635498,0.06703447550535202,2.029021739959717
mnist_without_reg_hidden_32_10_5_models.pt,0.029401659965515137,0.040100038051605225,1.5689191818237305,0.08755079656839371,1.7061834335327148
mnist_without_reg_hidden_32_10_5_models.pt,0.05240333080291748,0.056500017642974854,1.2773222923278809,0.18472199141979218,1.5711363554000854
mnist_without_reg_hidden_32_10_5_models.pt,0.05275094509124756,0.055299997329711914,0.9238555431365967,0.34377235174179077,1.5977065563201904
mnist_without_reg_hidden_32_10_5_models.pt,0.034422457218170166,0.04780000448226929,1.7281901836395264,0.06845811009407043,1.8265506029129028
mnist_without_reg_hidden_32_10_5_models.pt,0.021136760711669922,0.0382000207901001,2.022261619567871,0.092389315366745,2.172153949737549
mnist_with_reg_hidden_32_importance_0.2_10_5_models.pt,0.03937697410583496,0.04640001058578491,1.5944085121154785,0.3099870979785919,2.3077821731567383
