filename,train error,test error,mutual information,sample entropy,experts usage
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.2096540927886963,0.22832030057907104,0.0,0.0005727566778659821,1.4796473806200083e-06
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.22730785608291626,0.24638670682907104,0.0,0.000692763552069664,3.9756891965225805e-06
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.19505739212036133,0.20791012048721313,0.0,0.000534177664667368,3.106092117377557e-05
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.19426017999649048,0.20107418298721313,0.0,0.0005740778986364603,3.1347030926554e-07
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.1991668939590454,0.20361328125,0.0,0.0019974766299128534,0.01199598889797926
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.186296284198761,0.2066406011581421,0.0,0.0009689386934041977,1.1781919056375045e-05
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.22493618726730347,0.22968751192092896,0.0,0.0005249553360044956,6.561331815646554e-07
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.199621319770813,0.21328121423721313,0.0,0.00041332971304655077,0.0003979522152803838
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.18623650074005127,0.20185548067092896,0.0,0.001400466077029705,0.0011913112830370665
cifar10_without_reg_conv_2_top_1_10_10_models.pt,0.24193239212036133,0.2392578125,0.0,0.0013177067041397095,1.5722745956736617e-05
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.17828041315078735,0.20039063692092896,-2.384185791015625e-07,0.0013225378468632698,3.816681055468507e-05
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.17381614446640015,0.19960933923721313,0.0,0.0009100859053432942,9.410558413947001e-05
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.20777660608291626,0.2222656011581421,0.0,0.0025406917557120323,0.016680249944329262
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.2093232274055481,0.2178710699081421,0.0,0.0014534023590385913,0.00021868071053177118
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.17816084623336792,0.2071288824081421,0.0,0.001545856986194849,0.0008770758286118507
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.17942845821380615,0.22109371423721313,0.0,0.0008532484993338585,9.701004455564544e-05
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.1756855845451355,0.21826171875,0.0,0.0012242470867931843,0.002940625650808215
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.1921635866165161,0.20888668298721313,0.0,0.0008709426969289779,0.0005775085301138461
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.1889389157295227,0.21435546875,0.8052074909210205,0.1443450331687927,0.6076098680496216
cifar10_without_reg_conv_2_top_2_10_10_models.pt,0.18343830108642578,0.1998046636581421,0.0,0.0010726706124842167,0.0007757177227176726
cifar10_without_reg_conv_2_10_10_models.pt,0.3011479377746582,0.30605465173721313,0.8489980697631836,0.08632436990737916,0.6601017713546753
cifar10_without_reg_conv_2_10_10_models.pt,0.3033202886581421,0.31396484375,0.4693124294281006,0.06264784336090087,0.2502627670764923
cifar10_without_reg_conv_2_10_10_models.pt,0.3247688412666321,0.3193359375,0.0,0.0012039024382829665,0.00016400360618717968
cifar10_without_reg_conv_2_10_10_models.pt,0.3217872977256775,0.31972652673721313,0.707911491394043,0.10997605323791504,0.385345458984375
cifar10_without_reg_conv_2_10_10_models.pt,0.32275187969207764,0.33076173067092896,1.5591278076171875,0.23609695434570313,1.1167781352996826
cifar10_without_reg_conv_2_10_10_models.pt,0.3284359574317932,0.31884765625,1.2200188636779785,0.14716514348983764,0.7907201647758484
cifar10_without_reg_conv_2_10_10_models.pt,0.28723692893981934,0.2916015386581421,0.0,0.0020287452265620232,0.003823718521744013
cifar10_without_reg_conv_2_10_10_models.pt,0.2801617980003357,0.27412110567092896,0.0,0.001324015576392412,0.0007648664177395403
cifar10_without_reg_conv_2_10_10_models.pt,0.3159598708152771,0.318359375,1.058685064315796,0.13702291250228882,0.5909823179244995
cifar10_without_reg_conv_2_10_10_models.pt,0.318359375,0.31923824548721313,2.1151905059814453,0.25851757526397706,1.2906326055526733
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.13344234228134155,0.21064454317092896,0.6554522514343262,4.05753767490387,1.7489969730377197
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.17661434412002563,0.22724610567092896,0.6301236152648926,4.525584584474563,1.9614644050598145
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.13482147455215454,0.22148436307907104,0.6559057235717773,4.593670421838761,1.9598549604415894
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.14772003889083862,0.2164062261581421,0.6460957527160645,4.161065798997879,1.918343186378479
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.1391780972480774,0.21376949548721313,0.6823000907897949,3.8795609891414644,1.6954035758972168
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.1642298698425293,0.20888668298721313,0.4132814407348633,4.161986827850342,1.8971562385559082
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.15641343593597412,0.21113282442092896,0.5454449653625488,4.020479065179825,1.9115045070648193
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.14289307594299316,0.2041015625,0.41484928131103516,4.472060984373092,2.002612352371216
cifar10_without_reg_loss_gate_conv_2_10_10_models.pt,0.16637438535690308,0.2314453125,0.6128945350646973,4.358087888360023,1.9542039632797241
